symbol,live-expiry,live-strike,spot,OTM %,nearest_support_level,Is_near_support,adj_yield_30d,premium_pct,premium,edge_score,liquidity_tier,edge_bias,theta_vega_warn,theta_eff,macro_flags,valuation_flag,live-iv,live-delta,live-theta,swan_tier,suggested_allocation,num_of_contracts,dyn_delta_min,dyn_delta_max,not_assigned_prob,daily_drop_prob,theta_pct_per_day,theta_gate_required,live_vega,theta_vega_ratio,liquidity_penalty,beta_market,beta_r2,tech_health,ti_flags,ti_bear_ts,ti_bull_ts,ti_confidence,ts_score,ts_base_score,ts_factor,ts_rank_score
XLE,2026-07-17,54.0,58.83,8.21,53.7,yes,0.76,0.73,0.57,1.04,LIQUID,Favorable,THETA_VEGA_LOW,17.27,,Very Expensive,0.29,0.17,0.02,,,45,0.15,0.25,,,0.03,0.01,0.05,0.31,0.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,0.73,1.0,0.73
XLE,2026-07-17,55.0,58.83,6.51,53.7,yes,1.05,1.0,0.81,1.04,LIQUID,Favorable,THETA_VEGA_LOW,15.2,,Very Expensive,0.29,0.22,0.02,,,44,0.15,0.25,,,0.03,0.01,0.06,0.3,0.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,1.0,1.0,1.0
XLP,2026-07-17,79.0,82.39,4.11,81.32,no,0.85,0.7,0.81,1.22,LIQUID,Favorable,THETA_VEGA_LOW,9.23,,Expensive,0.19,0.23,0.02,,,31,0.21,0.31,,,0.02,0.01,0.09,0.19,0.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,0.7,1.0,0.7
XLP,2026-07-17,80.0,82.39,2.9,81.32,no,1.07,0.88,1.03,1.22,LIQUID,Favorable,THETA_VEGA_LOW,8.0,,Expensive,0.19,0.29,0.02,,,30,0.21,0.31,,,0.02,0.01,0.1,0.19,0.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,0.88,1.0,0.88
XLE,2026-07-10,55.0,58.83,6.51,53.7,yes,1.01,0.97,0.66,1.04,ILLIQUID,Favorable,THETA_VEGA_LOW,17.24,,Very Expensive,0.29,0.21,0.02,,,44,0.15,0.25,,,0.04,0.02,0.05,0.37,25.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,0.97,1.0,0.97
XLB,2026-07-17,47.0,51.81,9.28,50.15,no,0.67,0.6,0.41,1.12,ILLIQUID,Favorable,THETA_VEGA_LOW,18.51,,Very Expensive,0.29,0.15,0.01,,,52,0.14,0.24,,,0.03,0.01,0.04,0.31,35.0,,,Neutral,,0.0,0.0,,0,0.6,1.0,0.6
XLI,2026-07-17,161.0,175.25,8.13,170.54,no,0.57,0.62,1.47,0.92,ILLIQUID,Neutral,THETA_VEGA_LOW,15.46,,Very Expensive,0.26,0.17,0.04,,,15,0.14,0.24,,,0.03,0.01,0.15,0.27,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP,0.0,2.5,,2,0.62,1.0,0.62
XLP,2026-07-02,79.5,82.39,3.51,81.32,no,1.02,0.84,0.65,1.22,ILLIQUID,Favorable,THETA_VEGA_LOW,12.02,,Expensive,0.2,0.24,0.02,,,30,0.21,0.31,,,0.03,0.02,0.07,0.32,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BULL;TI_RSI_MOMENTUM_UP;TI_RSI_PERSISTENT_OVERBOUGHT,0.0,4.0,,3,0.84,1.0,0.84
VNQ,2026-07-17,92.0,95.19,3.35,93.93,no,1.67,1.48,2.0,1.12,ILLIQUID,Favorable,THETA_VEGA_LOW,11.02,,Fair,0.27,0.33,0.03,,,26,0.29,0.39,,,0.04,0.01,0.12,0.28,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BEAR;TI_RSI_MOMENTUM_UP,1.5,1.0,,0,1.48,1.0,1.48
RSP,2026-07-02,202.5,209.49,3.34,205.58,no,0.92,0.77,1.5,1.2,ILLIQUID,Favorable,THETA_VEGA_LOW,10.98,,Very Expensive,0.18,0.23,0.05,,,12,0.14,0.24,,,0.03,0.02,0.18,0.28,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BEAR;TI_RSI_MOMENTUM_UP,1.5,1.0,,0,0.77,1.0,0.77
RSP,2026-07-17,200.0,209.49,4.53,205.58,no,0.75,0.63,1.85,1.2,ILLIQUID,Favorable,THETA_VEGA_LOW,9.99,,Very Expensive,0.2,0.22,0.04,,,12,0.14,0.24,,,0.02,0.01,0.22,0.21,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BEAR;TI_RSI_MOMENTUM_UP,1.5,1.0,,0,0.63,1.0,0.63
VNQ,2026-07-17,93.0,95.19,2.3,93.93,no,1.52,1.36,1.85,1.12,ILLIQUID,Favorable,THETA_VEGA_LOW,8.68,,Fair,0.23,0.35,0.03,,,26,0.29,0.39,,,0.03,0.01,0.12,0.23,35.0,,,Neutral,TI_MACD_HIST_PERSISTENT_BEAR;TI_RSI_MOMENTUM_UP,1.5,1.0,,0,1.36,1.0,1.36
