symbol,old_option,old_expiry,old_strike,live-expiry,live-strike,NetCredit_adj,ΔVega,roll_credit,delta_dte_days,roll_efficiency,old_delta,new_delta,delta_worsen,decision,decision_reason,old_liquidity_tier,is_etf
SMH,SMH2Apr26P355.00,2026-04-07,355.00,2026-05-15,350.00,1075.50,0.497110,1075.50,38,28.302632,0.111500,0.277350,0.165850,ROLL,Meets NetCredit_adj + ΔVega criteria,ILLIQUID,
IWM,IWM17Apr26P230.00,2026-04-22,230.00,2026-05-15,229.00,238.50,0.418490,238.50,23,10.369565,0.213200,0.233530,0.020330,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
IWM,IWM24Apr26P220.00,2026-04-29,220.00,2026-05-15,215.00,79.00,0.312480,79.00,16,4.937500,0.130200,0.126560,-0.003640,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
IWM,IWM10Apr26P235.00,2026-04-15,235.00,2026-05-15,234.00,736.00,0.851340,368.00,30,12.266667,0.255100,0.288620,0.033520,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
SPY,SPY10Apr26P618.00,2026-04-15,618.00,2026-05-15,610.00,604.00,0.986750,604.00,30,20.133333,0.189500,0.235300,0.045800,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
IWM,IWM17Apr26P229.00,2026-04-22,229.00,2026-05-15,228.00,231.50,0.408120,231.50,23,10.065217,0.197900,0.227790,0.029890,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
QQQ,QQQ1May26P555.00,2026-05-06,555.00,2026-05-15,545.00,25.00,1.286790,25.00,9,2.777778,0.358900,0.271000,-0.087900,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
SPY,SPY24Apr26P618.00,2026-04-29,618.00,2026-05-15,610.00,245.00,1.238250,245.00,16,15.312500,0.265100,0.235300,-0.029800,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
SMH,SMH1May26P350.00,2026-05-06,350.00,2026-05-15,345.00,162.50,0.794320,162.50,9,18.055556,0.289200,0.251400,-0.037800,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
QQQ,QQQ17Apr26P561.00,2026-04-22,561.00,2026-05-15,545.00,243.50,1.139090,243.50,23,10.586957,0.391900,0.271000,-0.120900,ROLL,Meets NetCredit_adj + ΔVega criteria,LIQUID,
