Symbol,Qty,DTE,Premium,Mark,ProfitFraction,OpenPLPct,Notional,NotionalShare,Sector,Flags,NotionalSharePct
SPY27Mar26P651.00,-1.0,24.0,5.62,0.0,1.0,-2.31,65100.0,0.1257727975270479,Broad Market,OTM_SAFE;IN_HIGH_IV_REGIME_NOW;TP_45;VEGA_RISK;TI_MACD_BEAR_TREND;TI_ATR_LOW_VOL,12.58
SPY31Mar26P637.00,-1.0,28.0,6.07,0.0,1.0,27.35,63700.0,0.1230680061823802,Broad Market,OTM_SAFE;WINNING;IN_HIGH_IV_REGIME_NOW;TP_45;VEGA_RISK;THETA_VEGA_LOW;HIGH_IVRANK_LOW_THETA_VEGA;TI_MACD_BEAR_TREND;TI_ATR_LOW_VOL,12.31
QQQ31Mar26P570.00,-1.0,28.0,6.15,0.0,1.0,-8.94,57000.0,0.1101236476043276,Technology,OTM_SAFE;LOSING;IN_HIGH_IV_REGIME_NOW;TP_45;VEGA_RISK;TI_ATR_LOW_VOL,11.01
GOOGL27Mar26P280.00,-2.0,24.0,3.05,0.0,1.0,-19.67,56000.0,0.1081916537867078,Communication Services,OTM_SAFE;LOSING;TP_45;VEGA_RISK;TI_RSI_OVERSOLD;TI_MACD_BEAR_TREND;TI_TREND_STRONG;TS_RSI_PERSISTENT_OVERSOLD;TS_MACD_HIST_PERSISTENT_BEAR,10.82
XLE17Apr26P50.00,-10.0,45.0,0.51,0.0,1.0,7.84,50000.0,0.0965996908809891,Energy,OTM_SAFE;WINNING;IN_HIGH_IV_REGIME_NOW;TP_45;GAMMA_RISK;VEGA_RISK;THETA_VEGA_LOW_IVRANK_RISING;TI_RSI_OVERBOUGHT;TI_MACD_BEAR_ABOVE_ZERO;TI_TREND_STRONG;TS_RSI_PERSISTENT_OVERBOUGHT,9.66
AAPL27Mar26P250.00,-2.0,24.0,2.65,0.0,1.0,-18.87,50000.0,0.0965996908809891,Technology,OTM_SAFE;LOSING;IV_REGIME_LOW;IV_RANK_SURGE;TP_45;VEGA_RISK;TI_MACD_BEAR_ABOVE_ZERO,9.66
IWM27Mar26P239.00,-2.0,24.0,1.8,0.0,1.0,-5.56,47800.0,0.0923493044822256,Broad Market,OTM_SAFE;LOSING;IV_RANK_SURGE;TP_45;VEGA_RISK;TI_MACD_BEAR_ABOVE_ZERO;TI_TREND_WEAK;TS_MACD_HIST_PERSISTENT_BEAR,9.23
SMH27Mar26P360.00,-1.0,24.0,4.6,0.0,1.0,-50.0,36000.0,0.0695517774343122,Technology,OTM_SAFE;LOSING;IV_RANK_SURGE;TP_45;VEGA_RISK;TI_MACD_BEAR_ABOVE_ZERO,6.96
SMH2Apr26P355.00,-1.0,30.0,4.55,0.0,1.0,-54.95,35500.0,0.0685857805255023,Technology,OTM_SAFE;LOSING;IV_RANK_SURGE;TP_45;VEGA_RISK;THETA_VEGA_LOW;TI_MACD_BEAR_ABOVE_ZERO,6.86
SMH2Apr26P335.00,-1.0,30.0,4.95,0.0,1.0,15.15,33500.0,0.0647217928902627,Technology,OTM_SAFE;WINNING;IV_RANK_SURGE;TP_45;VEGA_RISK;TI_MACD_BEAR_ABOVE_ZERO,6.47
IWM10Apr26P230.00,-1.0,38.0,2.28,0.0,1.0,25.0,23000.0,0.044435857805255,Broad Market,OTM_SAFE;WINNING;IV_RANK_SURGE;TP_45;VEGA_RISK;THETA_VEGA_LOW;TI_MACD_BEAR_ABOVE_ZERO;TI_TREND_WEAK;TS_MACD_HIST_PERSISTENT_BEAR,4.44
